参照,都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目
公式サイト：https://www.dri.ne.jp/guide/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E7%A5%9E%E6%88%B8%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%20%E9%98%AA%E7%A5%9E%E3%83%BB%E6%B7%A1%E8%B7%AF%E5%A4%A7%E9%9C%87%E7%81%BD%E8%A8%98%E5%BF%B5%20%E4%BA%BA%E3%81%A8%E9%98%B2%E7%81%BD%E6%9C%AA%E6%9D%A5%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,兵庫県,神戸市中央区,阪神・淡路大震災記念 人と防災未来センター,震災伝承館・防災体験施設,,,,,,,地域に残された災害の記録を読み、避難と復興の教訓を学ぶ訪問先。 利用条件：一般観覧案内あり。有料展示と無料ゾーンあり。 公的主体：兵庫県
公式サイト：https://www.nojima-danso.co.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E6%B7%A1%E8%B7%AF%E5%B8%82%20%E5%8C%97%E6%B7%A1%E9%9C%87%E7%81%BD%E8%A8%98%E5%BF%B5%E5%85%AC%E5%9C%92%20%E9%87%8E%E5%B3%B6%E6%96%AD%E5%B1%A4%E4%BF%9D%E5%AD%98%E9%A4%A8,兵庫県,淡路市,北淡震災記念公園 野島断層保存館,地震・震災伝承館,,,,,,,保存された断層そのものを観察する、現地保存型の地震展示。 利用条件：予約なしでも入館可。断層保存展示。 公的主体：淡路市
公式サイト：https://www.city.amagasaki.hyogo.jp/manabu/kanko/spots/1040981.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%85%B5%E5%BA%AB%E7%9C%8C%20%E5%B0%BC%E5%B4%8E%E5%B8%82%20%E5%B0%BC%E5%B4%8E%E5%B8%82%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,兵庫県,尼崎市,尼崎市防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：1階展示ホールは申込不要で自由見学可。体験は事前問い合わせ。 公的主体：尼崎市
公式サイト：https://www.town.hirogawa.wakayama.jp/inamuranohi/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E6%AD%8C%E5%B1%B1%E7%9C%8C%20%E5%BA%83%E5%B7%9D%E7%94%BA%20%E7%A8%B2%E3%82%80%E3%82%89%E3%81%AE%E7%81%AB%E3%81%AE%E9%A4%A8%EF%BC%88%E6%B4%A5%E6%B3%A2%E9%98%B2%E7%81%BD%E6%95%99%E8%82%B2%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%BB%E6%BF%B1%E5%8F%A3%E6%A2%A7%E9%99%B5%E8%A8%98%E5%BF%B5%E9%A4%A8%EF%BC%89,和歌山県,広川町,稲むらの火の館（津波防災教育センター・濱口梧陵記念館）,津波防災施設,,,,,,,津波への備えと濱口梧陵の歴史を、併設する二つの展示施設で学ぶ。 利用条件：一般観覧可。団体見学は事前申込。 公的主体：広川町
公式サイト：https://www.city.wakayama.wakayama.jp/syoubou/bousai_gakusyu/1000182/index.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%92%8C%E6%AD%8C%E5%B1%B1%E7%9C%8C%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82%E6%B6%88%E9%98%B2%E5%B1%80%E9%98%B2%E7%81%BD%E5%AD%A6%E7%BF%92%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,和歌山県,和歌山市,和歌山市消防局防災学習センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：10名未満は申込不要・無料。10名以上は事前予約。2025年3月リニューアル。 公的主体：和歌山市
公式サイト：https://www.pref.tottori.lg.jp/32660.htm Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%B3%A5%E5%8F%96%E7%9C%8C%20%E6%97%A5%E9%87%8E%E7%94%BA%20%E9%B3%A5%E5%8F%96%E7%9C%8C%E8%A5%BF%E9%83%A8%E5%9C%B0%E9%9C%87%E5%B1%95%E7%A4%BA%E4%BA%A4%E6%B5%81%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%88%E3%81%B2%E3%81%AE%E9%98%B2%E7%81%BD%E7%A6%8F%E7%A5%89%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%83%86%E3%82%A3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%89,鳥取県,日野町,鳥取県西部地震展示交流センター（ひの防災福祉コミュニティセンター）,震災伝承館,,,,,,,西部地震の記録を継承する展示施設。訪問前の受入確認を前提にした候補。 利用条件：町が常設展示を継続している旨を県公式で確認。訪問日時・受入条件は施設へ要問い合わせ。 公的主体：日野町（2021年度に県から継承）
公式サイト：https://www.city.okayama.jp/shisei/0000004386.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B2%A1%E5%B1%B1%E7%9C%8C%20%E5%B2%A1%E5%B1%B1%E5%B8%82%E5%8C%97%E5%8C%BA%20%E5%B2%A1%E5%B1%B1%E5%B8%82%E8%A5%BF%E6%B6%88%E9%98%B2%E7%BD%B2%20%E6%B6%88%E9%98%B2%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,岡山県,岡山市北区,岡山市西消防署 消防防災センター,消防資料館・防災体験施設,,,,,,,消防の資料と防災展示を見学し、災害対応の道具や仕組みを知る。 利用条件：市公式FAQで見学可能と明記。詳細は西消防署へ問い合わせ。 公的主体：岡山市
公式サイト：https://www.ebayama.jp/ 公式資料：https://www.ebayama.jp/?p=11996 Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E7%9C%8C%20%E5%BA%83%E5%B3%B6%E5%B8%82%E4%B8%AD%E5%8C%BA%20%E5%BA%83%E5%B3%B6%E5%B8%82%E6%B1%9F%E6%B3%A2%E5%B1%B1%E6%B0%97%E8%B1%A1%E9%A4%A8,広島県,広島市中区,広島市江波山気象館,気象・風水害学習施設,,,,,,,旧気象台を利用する気象館。突風・雷・台風の展示と建築の両方を見たい。 利用条件：一般観覧可。突風・雷・台風の体験展示。団体見学は事前連絡。 公的主体：広島市
公式サイト：https://www.pref.tokushima.lg.jp/bousai-center/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%BE%B3%E5%B3%B6%E7%9C%8C%20%E5%8C%97%E5%B3%B6%E7%94%BA%20%E5%BE%B3%E5%B3%B6%E7%9C%8C%E7%AB%8B%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,徳島県,北島町,徳島県立防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：一般向け体験・展示。10名以上や車いすでの地震体験は予約制。 公的主体：徳島県
公式サイト：https://www.pref.kagawa.lg.jp/kikikanri/bousai/bousaisenta-.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%A6%99%E5%B7%9D%E7%9C%8C%20%E9%AB%98%E6%9D%BE%E5%B8%82%20%E9%A6%99%E5%B7%9D%E7%9C%8C%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,香川県,高松市,香川県防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：電話で空き状況確認・事前予約。団体は30名まで。 公的主体：香川県
公式サイト：https://www.city.shikokuchuo.ehime.jp/site/shobo/4032.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E5%AA%9B%E7%9C%8C%20%E5%9B%9B%E5%9B%BD%E4%B8%AD%E5%A4%AE%E5%B8%82%20%E5%9B%9B%E5%9B%BD%E4%B8%AD%E5%A4%AE%E5%B8%82%E6%B6%88%E9%98%B2%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E9%98%B2%E7%81%BD%E5%AD%A6%E7%BF%92%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC,愛媛県,四国中央市,四国中央市消防防災センター 防災学習コーナー,防災体験施設,,,,,,,予約見学で、地震発生から通報・消火・避難などの一連の行動を学ぶ。 利用条件：見学は消防署へ予約し申込書提出。災害時は予約済みでも見学不可の場合あり。 公的主体：四国中央市
公式サイト：https://www.city.muroto.kochi.jp/pages/page1112.php Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E7%9F%A5%E7%9C%8C%20%E5%AE%A4%E6%88%B8%E5%B8%82%20%E5%AE%A4%E6%88%B8%E4%B8%96%E7%95%8C%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,高知県,室戸市,室戸世界ジオパークセンター,地震・津波学習施設,,,,,,,大地の成り立ちと人の営みを学ぶ拠点。防災企画展は会期を確認したい。 利用条件：一般見学可・無料。地形・地震等の学習施設。防災企画展の実施実績あり。 公的主体：室戸市
公式サイト：https://www.city.fukuoka.lg.jp/syobo/bousai_suishin/bousaicenter/centerinfo.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E7%9C%8C%20%E7%A6%8F%E5%B2%A1%E5%B8%82%E6%97%A9%E8%89%AF%E5%8C%BA%20%E7%A6%8F%E5%B2%A1%E5%B8%82%E6%B0%91%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,福岡県,福岡市早良区,福岡市民防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：一般向け防災体験コース・来館案内あり。 公的主体：福岡市
公式サイト：https://www.chubu.saga.saga.jp/shobo/about/_2046.html?media=pc Googleマップ：https://www.google.com/maps/search/?api=1&query=%E4%BD%90%E8%B3%80%E7%9C%8C%20%E4%BD%90%E8%B3%80%E5%B8%82%20%E4%BD%90%E8%B3%80%E5%BA%83%E5%9F%9F%E6%B6%88%E9%98%B2%E5%B1%80%20%E9%98%B2%E7%81%BD%E5%AD%A6%E7%BF%92%E5%BA%83%E5%A0%B4,佐賀県,佐賀市,佐賀広域消防局 防災学習広場,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：開館中は自由見学可。体験は予約制・安全管理上10名まで。 公的主体：佐賀中部広域連合
公式サイト：https://www.city.nagasaki.lg.jp/page/4183.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E5%B4%8E%E7%9C%8C%20%E9%95%B7%E5%B4%8E%E5%B8%82%20%E9%95%B7%E5%B4%8E%E5%B8%82%E9%98%B2%E7%81%BD%E4%BD%93%E9%A8%93%E3%81%B2%E3%82%8D%E3%81%B0,長崎県,長崎市,長崎市防災体験ひろば,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：一般向け防災展示・体験施設。長崎大水害の記録展示あり。 公的主体：長崎市
公式サイト：https://udmh.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E5%B4%8E%E7%9C%8C%20%E5%B3%B6%E5%8E%9F%E5%B8%82%20%E9%9B%B2%E4%BB%99%E5%B2%B3%E7%81%BD%E5%AE%B3%E8%A8%98%E5%BF%B5%E9%A4%A8%EF%BC%88%E3%81%8C%E3%81%BE%E3%81%A0%E3%81%99%E3%83%89%E3%83%BC%E3%83%A0%EF%BC%89,長崎県,島原市,雲仙岳災害記念館（がまだすドーム）,火山防災施設,,,,,,,雲仙普賢岳の噴火災害と火山科学、防災の展示をまとめて見学する。 利用条件：一般観覧可。噴火災害・火山科学・備えを展示。 公的主体：長崎県
公式サイト：https://www.mlit.go.jp/sogoseisaku/region/infratourism/infralist/nagasaki/index01.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E5%B4%8E%E7%9C%8C%20%E5%8D%97%E5%B3%B6%E5%8E%9F%E5%B8%82%20%E5%A4%A7%E9%87%8E%E6%9C%A8%E5%A0%B4%E7%A0%82%E9%98%B2%E3%81%BF%E3%82%89%E3%81%84%E9%A4%A8%EF%BC%88%E5%A4%A7%E9%87%8E%E6%9C%A8%E5%A0%B4%E7%9B%A3%E8%A6%96%E6%89%80%EF%BC%89,長崎県,南島原市,大野木場砂防みらい館（大野木場監視所）,砂防・火山防災資料館,,,,,,,火山監視・砂防を解説する一般公開施設。周辺遺構と併せたガイド見学も候補。 利用条件：平常時は一般開放。旧大野木場小とのガイド見学は要予約。 公的主体：国土交通省
公式サイト：https://www.city.kumamoto.jp/kiji00350230/index.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%86%8A%E6%9C%AC%E7%9C%8C%20%E7%86%8A%E6%9C%AC%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%20%E7%86%8A%E6%9C%AC%E5%B8%82%E5%BA%83%E5%9F%9F%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,熊本県,熊本市中央区,熊本市広域防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：無料。展示は自由見学。職員説明付き体験は電話予約。2026年8月10日から開館との告知。 公的主体：熊本市
公式サイト：https://kumamotojishin-museum.com/kioku/contents/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%86%8A%E6%9C%AC%E7%9C%8C%20%E5%8D%97%E9%98%BF%E8%98%87%E6%9D%91%20%E7%86%8A%E6%9C%AC%E5%9C%B0%E9%9C%87%E9%9C%87%E7%81%BD%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%20KIOKU,熊本県,南阿蘇村,熊本地震震災ミュージアム KIOKU,震災伝承館,,,,,,,熊本地震の展示と震災遺構を一体で見学する伝承拠点。 利用条件：一般観覧可。有料展示施設と震災遺構を一体案内。 公的主体：熊本県
公式サイト：https://www.city.oita.oita.jp/o165/machizukuri/kanri/1117412572341.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E5%88%86%E7%9C%8C%20%E5%A4%A7%E5%88%86%E5%B8%82%20%E5%A4%A7%E5%88%86%E5%B8%82%E5%A4%A7%E9%87%8E%E5%B7%9D%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,大分県,大分市,大分市大野川防災センター,治水・防災学習施設,,,,,,,災害時の対策拠点を事前連絡のうえ見学し、防災啓発の映像・パネルを見る。 利用条件：見学は希望日時と人数を市に連絡。原則平日10〜15時。自由入館とは異なる。 公的主体：大分市
公式サイト：https://kagoshimabousai.jp/guide/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%20%E5%A7%B6%E8%89%AF%E5%B8%82%20%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%E9%98%B2%E7%81%BD%E7%A0%94%E4%BF%AE%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,鹿児島県,姶良市,鹿児島県防災研修センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：自由見学可。展示説明・体験研修は事前申込。 公的主体：鹿児島県
公式サイト：https://visitor.sakurajima.gr.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C%20%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82%20%E6%A1%9C%E5%B3%B6%E3%83%93%E3%82%B8%E3%82%BF%E3%83%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,鹿児島県,鹿児島市,桜島ビジターセンター,火山防災施設,,,,,,,桜島の噴火活動や火山の仕組みを学ぶ、火山見学の入口となる施設。 利用条件：一般展示・噴火活動情報を提供。 公的主体：鹿児島市
